Rank,Company,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Gained_in_Rank,Dropped_in_Rank,Newcomer_to_the_Fortune500,Number_of_employees,MarketCap_Updated_M,Revenues_M,RevenuePercentChange,Profits_M,Assets_M,CEO,HeadquartersCity,HeadquartersState,Website,CompanyType
963,OGE Energy,Energy,Utilities: Gas and Electric,yes,no,no,yes,-130,no,yes,n/a,2329.0,6871.0,2674.3,-20.8,416.8,12790.7,Sean  Trauschke,Oklahoma City,Oklahoma,https://www.ogeenergy.com,Public
964,Bio-Rad Laboratories,Technology,"Scientific,Photographic and  Control Equipment",no,no,no,no,-46,no,yes,n/a,8030.0,9794.0,2671.3,-4.7,-637.3,12299.1,Norman D. Schwartz,Hercules,California,https://www.bio-rad.com,Public
965,Spire,Energy,Utilities: Gas and Electric,yes,no,no,yes,0,no,no,n/a,3589.0,3374.0,2666.3,21.3,217.5,10313.6,Steven L. Lindsey,St. Louis,Missouri,https://www.spireenergy.com,Public
966,Gannett,Media,"Publishing, Printing",no,no,no,no,-65,no,yes,n/a,12800.0,363.0,2663.6,-9.6,-27.8,2181.2,Michael E. Reed,McLean,Virginia,https://www.gannett.com,Public
967,Stericycle,Business Services,Waste Management,no,no,yes,no,-23,no,yes,n/a,13948.0,4883.0,2659.3,-1.7,-21.4,5352.6,Cindy J. Miller,Bannockburn,Illinois,https://www.stericycle.com,Public
968,Cullen/Frost Bankers,Financials,Commercial Banks,yes,no,no,yes,0,no,no,n/a,5495.0,7229.0,2646.3,40.7,598.0,50845.0,Phillip D. Green,San Antonio,Texas,https://www.frostbank.com,Public
969,Extra Space Storage,Financials,Real estate,yes,no,no,yes,0,no,no,n/a,7618.0,31102.0,2645.1,32.7,803.2,27456.3,Joseph D. Margolis,Salt Lake City,Utah,https://www.extraspace.com,Public
970,REV Group,Motor Vehicles & Parts,Motor Vehicles & Parts,yes,no,no,no,0,no,no,n/a,6724.0,1144.0,2638.0,13.1,45.3,1410.4,Mark A. Skonieczny,Brookfield,Wisconsin,https://www.revgroup.com,Public
971,ProFrac Holding,Energy,"Oil and Gas Equipment, Services",no,yes,no,no,26,yes,no,n/a,2949.0,1334.0,2630.0,8.4,-97.7,3070.7,Ladd  Wilks,Willow Park,Texas,https://www.pfholdingscorp.com,Public
972,Nordson,Industrials,Industrial Machinery,yes,no,no,yes,-3,no,yes,n/a,7900.0,15702.0,2628.6,1.5,487.5,5251.8,Sundaram Nagarajan,Westlake,Ohio,https://www.nordson.com,Public
